problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,norm,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,95,0.1,"(2, 3)",True,l1,0.07713763,0.0072635715,0.0964146,0.08236264,0.10187924,0.0825,0.10603385,0.06761905,0.07498831,0.07833333,0.07044866,0.06428572,0.12872295,0.34377236366271974,1.7069082260131836,0.07479747943433365,0.12444756711054789,0.02144545248793281
1,inglesa,85,0.1,"(2, 3)",False,l1,0.0938559,0.04501891,0.11054168,0.08170996,0.10278813,0.08630952,0.12083165,0.04,0.09849328,0.083333336,0.1030259,0.19761905,0.12756945,0.33809971809387207,1.4746294021606445,0.2333750417165594,0.1158351391695588,0.01146819166265751
1,inglesa,81,0.1,"(2, 3)",True,l2,0.106309526,0.02398684,0.09658617,0.12666667,0.07305128,0.093333334,0.13963924,0.125,0.10072358,0.058333334,0.088761955,0.12083333,0.08075479,0.376934289932251,1.843064260482788,0.3117406496669217,0.14584362403428153,0.023394135078689475
1,inglesa,87,0.1,"(2, 3)",False,l2,0.090782315,0.035566922,0.10384944,0.08595238,0.09915056,0.06964286,0.10977976,0.04,0.11272746,0.13666667,0.08499871,0.14761905,0.11259071,0.3426628112792969,1.7372585773468017,0.15161120104917583,0.11819980877724096,0.010656707789540858
1,inglesa,92,0.1,"(2, 4)",True,l1,0.082333855,0.024749579,0.11184675,0.08269231,0.12241628,0.08583333,0.1118266,0.041666668,0.088122174,0.06666667,0.12128298,0.13095239,0.115585744,0.5289062023162842,2.238113832473755,0.2217599697603217,0.17932818047257892,0.01247071287678304
1,inglesa,86,0.1,"(2, 4)",False,l1,0.09263039,0.031366155,0.11480957,0.11123016,0.123011515,0.06666667,0.12615412,0.095,0.12195199,0.05,0.09585854,0.14761905,0.107071675,0.6021052360534668,2.339699935913086,0.24722387272458618,0.2618273095262663,0.01154124319642233
1,inglesa,91,0.1,"(2, 4)",True,l2,0.085790046,0.026634606,0.092176095,0.121515155,0.09678437,0.051666666,0.12251072,0.09166667,0.09552955,0.083333336,0.07756016,0.079166666,0.06849567,0.5384978294372559,2.3161951541900634,0.2198441933666661,0.1989940779341301,0.01858525794247717
1,inglesa,90,0.1,"(2, 4)",False,l2,0.08609629,0.026491199,0.11457131,0.11217033,0.102748916,0.05,0.13057818,0.07,0.14062002,0.108333334,0.117673926,0.1,0.08123552,0.5122603416442871,2.061442804336548,0.15198911192673906,0.19856490646659453,0.020954355456617932
1,inglesa,83,0.1,"(2, 5)",True,l1,0.098991245,0.02589534,0.115997575,0.09254079,0.10543762,0.09678572,0.16790403,0.13333334,0.08312217,0.05,0.12690566,0.13095239,0.096618384,0.6834135532379151,2.7723514556884767,0.23418323259200574,0.22204809797804978,0.029601099664883376
1,inglesa,89,0.1,"(2, 5)",False,l1,0.088208616,0.036457364,0.11759079,0.11123016,0.11819217,0.05,0.13730742,0.095,0.12334671,0.05,0.10468911,0.15,0.10441855,0.6565238475799561,2.787365961074829,0.32460891448825807,0.22203048085893012,0.012346649772189326
