problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,32,0.1,"(2, 3)",True,0.07713763,0.0072635715,0.0964146,0.08236264,0.10187924,0.0825,0.10603385,0.06761905,0.07498831,0.07833333,0.07044866,0.06428572,0.12872295,0.33147258758544923,1.4585292339324951,0.11174718028895583,0.11182355795545039,0.02144545248793281
1,inglesa,27,0.1,"(2, 3)",False,0.0938559,0.04501891,0.11054168,0.08170996,0.10278813,0.08630952,0.12083165,0.04,0.09849328,0.083333336,0.1030259,0.19761905,0.12756945,0.3255647659301758,1.5044719696044921,0.12847975927932043,0.11249091874623016,0.01146819166265751
1,inglesa,31,0.1,"(2, 4)",True,0.082333855,0.024749579,0.11184675,0.08269231,0.12241628,0.08583333,0.1118266,0.041666668,0.088122174,0.06666667,0.12128298,0.13095239,0.115585744,0.5137611389160156,2.06676025390625,0.22674755420582837,0.20992628502627686,0.01247071287678304
1,inglesa,28,0.1,"(2, 4)",False,0.09263039,0.031366155,0.11480957,0.11123016,0.123011515,0.06666667,0.12615412,0.095,0.12195199,0.05,0.09585854,0.14761905,0.107071675,0.483076810836792,2.007543420791626,0.1608286688547311,0.17490044634309682,0.01154124319642233
1,inglesa,26,0.1,"(2, 5)",True,0.098991245,0.02589534,0.115997575,0.09254079,0.10543762,0.09678572,0.16790403,0.13333334,0.08312217,0.05,0.12690566,0.13095239,0.096618384,0.6740729808807373,2.9280019760131837,0.380853991350872,0.23297950996717065,0.029601099664883376
1,inglesa,30,0.1,"(2, 5)",False,0.088208616,0.036457364,0.11759079,0.11123016,0.11819217,0.05,0.13730742,0.095,0.12334671,0.05,0.10468911,0.15,0.10441855,0.6967272758483887,3.0574127674102782,0.22144927728846298,0.28478717777683776,0.012346649772189326
1,inglesa,25,0.1,"(3, 5)",True,0.10335807,0.04908557,0.118811846,0.12865801,0.123578645,0.046785716,0.1660237,0.18333334,0.08632972,0.058333334,0.115464516,0.13095239,0.10266263,0.5297882556915283,2.2286993503570556,0.2240182111195285,0.16984945002637444,0.02675358402221761
1,inglesa,29,0.1,"(3, 5)",False,0.08939909,0.035308212,0.122168444,0.11123016,0.12157212,0.05,0.13730742,0.095,0.13236663,0.058333334,0.11627641,0.15,0.10331965,0.5156169891357422,2.2793828010559083,0.22901159559019166,0.18952611483790435,0.012029464830349739
1,inglesa,20,0.5,"(2, 3)",True,0.43255103,0.096865825,0.7694541,0.5642857,0.88473696,0.31214285,0.7623893,0.43333334,0.758289,0.39166668,0.76144713,0.45,0.6804082,0.42266092300415037,1.6394272804260255,0.19821965311199602,0.1859123999714544,0.06551028261024854
1,inglesa,23,0.5,"(2, 3)",False,0.3914966,0.08349416,0.69288254,0.43,0.73064244,0.31940475,0.6589457,0.43333334,0.7271978,0.275,0.731171,0.53333336,0.6164559,0.3359695911407471,1.5225032329559327,0.1490362898075576,0.11650555104519779,0.04703635335374681
1,inglesa,17,0.5,"(2, 4)",True,0.4957483,0.10728422,0.85333204,0.5642857,0.9084091,0.40833333,0.8745582,0.4,0.8045571,0.425,0.85616714,0.7,0.8229687,0.5514274120330811,2.278434181213379,0.3229688073092903,0.14912395525398608,0.036859182179970675
