problem,language,rank_test_score,PCA_componentes,ngram_range,sublinear_tf,mean_test_score,std_test_score,mean_train_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,mean_score_time,mean_fit_time,std_fit_time,std_score_time,std_train_score
1,inglesa,20,0.1,"(1, 1)",True,0.20377551,0.092235245,0.6570037,0.14380953,0.7185598,0.2777381,0.62953186,0.30833334,0.63669384,0.033333335,0.67848486,0.24166666,0.62174827,0.04051985740661621,0.3316565990447998,0.041032077323294516,0.011941036215984899,0.03649857052500038
1,inglesa,21,0.1,"(1, 1)",False,0.16755103,0.06801006,0.63927287,0.13111112,0.6754254,0.2131746,0.65449494,0.18333334,0.6088911,0.039285716,0.642871,0.26166666,0.61468196,0.04158902168273926,0.29915719032287597,0.05245159156335205,0.01522883785608005,0.024817040192170466
1,inglesa,19,0.1,"(1, 2)",True,0.21171202,0.08507525,0.7566812,0.15690476,0.8209091,0.22777778,0.633012,0.17595237,0.78130317,0.13333334,0.8224359,0.40333334,0.7257459,0.09426398277282715,1.3511605739593506,0.2788474437671658,0.03317996750737058,0.07114240324211045
1,inglesa,22,0.1,"(1, 2)",False,0.1466972,0.037067737,0.80995524,0.16205128,0.83944446,0.15666667,0.78497475,0.06111111,0.8143973,0.14166667,0.8115901,0.18666667,0.7993695,0.09874424934387208,1.0863949298858642,0.1439917094862969,0.04374758580287602,0.01804494379417911
1,inglesa,24,0.1,"(1, 3)",True,0.124115646,0.029220093,0.80247885,0.09059524,0.8397475,0.16333333,0.6687229,0.114285715,0.82580197,0.10666667,0.88741535,0.14,0.7907065,0.1568594455718994,1.9307114124298095,0.3346225232047625,0.06500553964260816,0.07372429728080426
1,inglesa,23,0.1,"(1, 3)",False,0.13575877,0.030552514,0.8231595,0.13833334,0.8596212,0.17,0.7937987,0.09102564,0.81475526,0.09166667,0.8625991,0.15095238,0.78502333,0.14398465156555176,1.7225841522216796,0.17141177818421624,0.0511055244431822,0.03247150423293229
1,inglesa,17,0.5,"(1, 1)",True,0.46411565,0.081401065,1.0,0.38916665,1.0,0.51857144,1.0,0.525,1.0,0.34166667,1.0,0.56666666,1.0,0.04274458885192871,0.2955592632293701,0.03889567733275197,0.010892637491792173,0.0
1,inglesa,18,0.5,"(1, 1)",False,0.42292517,0.08667278,1.0,0.31678572,1.0,0.5159524,1.0,0.5,1.0,0.345,1.0,0.45,1.0,0.04355802536010742,0.28457303047180177,0.033148515935295,0.011913450593904047,0.0
1,inglesa,13,0.5,"(1, 2)",True,0.55285716,0.06728708,1.0,0.5283333,1.0,0.64666665,1.0,0.5,1.0,0.45333335,1.0,0.56666666,1.0,0.09977574348449707,1.0624972820281982,0.2534399722318481,0.017540184036405074,0.0
1,inglesa,15,0.5,"(1, 2)",False,0.54451245,0.059139706,1.0,0.50357145,1.0,0.5922222,1.0,0.46666667,1.0,0.51166666,1.0,0.64166665,1.0,0.10057463645935058,1.1681163787841797,0.28046918405616966,0.03335446269917203,0.0
1,inglesa,14,0.5,"(1, 3)",True,0.55268705,0.071045764,1.0,0.48857144,1.0,0.6483333,1.0,0.55833334,1.0,0.46166667,1.0,0.575,1.0,0.1588449001312256,2.069801616668701,0.33328005371883146,0.05738835715236518,0.0
1,inglesa,16,0.5,"(1, 3)",False,0.5394218,0.053412367,1.0,0.5176191,1.0,0.5711905,1.0,0.45333335,1.0,0.51166666,1.0,0.6333333,1.0,0.15368185043334961,1.9646047592163085,0.18110341988362044,0.04720146495684507,0.0
1,inglesa,10,0.9,"(1, 1)",True,0.59408164,0.06685123,1.0,0.5292857,1.0,0.65833336,1.0,0.6666667,1.0,0.5,1.0,0.6166667,1.0,0.043877029418945314,0.36798739433288574,0.06972477343974146,0.012551529122039596,0.0
1,inglesa,12,0.9,"(1, 1)",False,0.55722225,0.13398024,1.0,0.5144445,1.0,0.68,1.0,0.69166666,1.0,0.28666666,1.0,0.53333336,1.0,0.052778434753417966,0.341492748260498,0.049648082383127796,0.03041041332288559,0.0
1,inglesa,3,0.9,"(1, 2)",True,0.6440476,0.07961144,1.0,0.58666664,1.0,0.7633333,1.0,0.6333333,1.0,0.55,1.0,0.625,1.0,0.12516698837280274,1.275645637512207,0.344026276353749,0.05918686798256497,0.0
1,inglesa,6,0.9,"(1, 2)",False,0.62918365,0.057456885,1.0,0.63357145,1.0,0.69357145,1.0,0.6166667,1.0,0.5083333,1.0,0.625,1.0,0.10665202140808105,1.2156539916992188,0.300453943652039,0.037762760072983695,0.0
1,inglesa,1,0.9,"(1, 3)",True,0.65506804,0.08157888,1.0,0.58666664,1.0,0.76857144,1.0,0.65,1.0,0.55,1.0,0.675,1.0,0.1620312213897705,2.017431545257568,0.24234560886400655,0.05519455635851747,0.0
1,inglesa,7,0.9,"(1, 3)",False,0.622449,0.072984055,1.0,0.59190476,1.0,0.71,1.0,0.55833334,1.0,0.51166666,1.0,0.68333334,1.0,0.17624778747558595,2.024589204788208,0.24780287681187405,0.07085418094365502,0.0
1,inglesa,9,0.9999,"(1, 1)",True,0.596576,0.07253913,1.0,0.55777776,1.0,0.6702381,1.0,0.68333334,1.0,0.47833332,1.0,0.55833334,1.0,0.0455352783203125,0.3463143825531006,0.033545008921012504,0.013221216230416293,0.0
1,inglesa,11,0.9999,"(1, 1)",False,0.5890476,0.11704567,1.0,0.47083333,1.0,0.7033333,1.0,0.75,1.0,0.46666667,1.0,0.55833334,1.0,0.044829177856445315,0.3268258094787598,0.04684034342849268,0.01486612644676486,0.0
1,inglesa,5,0.9999,"(1, 2)",True,0.62976193,0.0906083,1.0,0.6116667,1.0,0.755,1.0,0.6333333,1.0,0.55,1.0,0.49166667,1.0,0.10433549880981445,1.3698330402374268,0.2168243147232915,0.030515929081589722,0.0
1,inglesa,4,0.9999,"(1, 2)",False,0.6307143,0.082196325,1.0,0.55833334,1.0,0.75333333,1.0,0.6166667,1.0,0.55,1.0,0.625,1.0,0.1070976734161377,1.2199405193328858,0.11297603889737735,0.03436242668057369,0.0
1,inglesa,2,0.9999,"(1, 3)",True,0.65261906,0.08961495,1.0,0.585,1.0,0.75333333,1.0,0.6333333,1.0,0.51666665,1.0,0.7416667,1.0,0.17764158248901368,2.262310600280762,0.5315942765384163,0.05609970310052227,0.0
1,inglesa,8,0.9999,"(1, 3)",False,0.61285716,0.09017934,1.0,0.54,1.0,0.73,1.0,0.68333334,1.0,0.5083333,1.0,0.55833334,1.0,0.16480860710144044,2.1674211502075194,0.29027424594139883,0.06810678818805857,0.0
2,inglesa,20,0.1,"(1, 1)",True,0.44217688,0.13900541,0.72545123,0.46666667,0.79515153,0.34761906,0.6851515,0.73333335,0.6842491,0.26666668,0.6333333,0.46666667,0.8293706,0.012941598892211914,0.22546663284301757,0.13670692490136727,0.002011336501024458,0.07411445477556103
2,inglesa,19,0.1,"(1, 1)",False,0.46571428,0.12453997,0.7177474,0.44666666,0.7143434,0.33333334,0.71161616,0.5,0.7276923,0.46666667,0.72512823,0.73333335,0.7099567,0.01475682258605957,0.2535491943359375,0.08698536930120392,0.006690384070429619,0.00725605114375082
2,inglesa,23,0.1,"(1, 2)",True,0.24789116,0.052765965,0.7857884,0.31428573,0.8428283,0.18,0.7539394,0.28,0.73768896,0.23333333,0.7607193,0.23333333,0.8337662,0.027803611755371094,0.2799548149108887,0.05778661868114314,0.014722763262906087,0.04361604090508996
2,inglesa,22,0.1,"(1, 2)",False,0.25265306,0.092810854,0.858674,0.18095239,0.84,0.21333334,0.7572727,0.28,0.8967366,0.46666667,0.83292705,0.23333333,0.9664336,0.024819564819335938,0.23644685745239258,0.034927924190054374,0.008330145085055243,0.06979215725092915
2,inglesa,24,0.1,"(1, 3)",True,0.24095239,0.050825387,0.7908154,0.31333333,0.8428283,0.18,0.7539394,0.23333333,0.7571096,0.23333333,0.76643354,0.23333333,0.8337662,0.039812469482421876,0.3835444927215576,0.02951166196810789,0.011242896915098293,0.03909094927811663
2,inglesa,21,0.1,"(1, 3)",False,0.35777777,0.109962314,0.88121367,0.31333333,0.8428283,0.22222222,0.83363634,0.5,0.8967366,0.46666667,0.86643356,0.46666667,0.9664336,0.040230178833007814,0.40417280197143557,0.03897043731631381,0.013894490846795022,0.04787250044272565
2,inglesa,17,0.5,"(1, 1)",True,0.72380954,0.118715726,1.0,0.66,1.0,0.64,1.0,0.73333335,1.0,1.0,1.0,0.73333335,1.0,0.011512184143066406,0.10693426132202148,0.024316558934526892,0.004314004613159422,0.0
2,inglesa,14,0.5,"(1, 1)",False,0.7771429,0.09861628,1.0,0.6933333,1.0,0.79333335,1.0,0.73333335,1.0,1.0,1.0,0.73333335,1.0,0.010793113708496093,0.10652351379394531,0.01448521532693881,0.004609393079520531,0.0
2,inglesa,4,0.5,"(1, 2)",True,0.85714287,0.16781914,1.0,0.6333333,1.0,1.0,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.023481416702270507,0.2223785400390625,0.03209413748879849,0.006469605741421402,0.0
2,inglesa,13,0.5,"(1, 2)",False,0.7961905,0.14154957,1.0,0.6333333,1.0,0.7866667,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.023613739013671874,0.27089877128601075,0.06841611668086471,0.007691248096735826,0.0
2,inglesa,5,0.5,"(1, 3)",True,0.85142857,0.11720091,1.0,0.72,1.0,0.8933333,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.04128332138061523,0.40439724922180176,0.05098260105277348,0.010524128696023295,0.0
2,inglesa,16,0.5,"(1, 3)",False,0.7507483,0.17504108,1.0,0.72,1.0,0.5409524,1.0,0.73333335,1.0,1.0,1.0,1.0,1.0,0.040403556823730466,0.46341557502746583,0.06006699168434965,0.012067439029537148,0.0
